stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
78,79,Serra Mall @ Gates Bldg.,37.429782,-122.173329,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=79
79,80,Serra St. @ Packard Electrical Eng.,37.429587,-122.172769,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=80
80,81,Campus Dr.  @ Panama St.,37.430775,-122.178021,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=81
81,82,Campus Drive @ Medical School Office,37.431113,-122.178451,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=82
82,84,SLAC Hotel (Stanford Guesthouse),37.420039,-122.20254,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=84
83,85,Sand Hill Rd. @ Sharon Park Rd. South,37.423894,-122.194993,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=85
84,86,Sand Hill Rd.@ Sharon Park Rd. North,37.423536,-122.195894,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=86
85,87,Bus Plaza @ Parking Structure 5,37.431425,-122.181404,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=87
86,88,Stock Farm Parking Lot @ Oak Rd.,37.432374,-122.180357,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=88
87,89,Bus Plaza across from Parking Struct 5,37.431357,-122.181282,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=89
89,91,Sand Hill Rd. @ Stock Farm Rd.,37.43172,-122.186115,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=91
90,92,Sand Hill Rd. @The Oak Creek Apts.,37.430085,-122.188042,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=92
91,93,Panama St  @ Via Ortega.,37.427611,-122.176286,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=93
92,94,Via Ortega @ Panama,37.427732,-122.17643,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=94
93,95,Serra Mall @ Lasuen Mall,37.428612,-122.168176,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=95
94,96,Campus Oval,37.429227,-122.169004,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=96
95,97,Galvez @ Serra Mall,37.428113,-122.165378,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=97
96,98,Serra @ Knight Center,37.427525,-122.162783,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=98
97,99,Serra St. @ The Schwab Residential Ctr,37.427388,-122.162572,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=99
98,100,Palo Rd @ Hoover Pavilion,37.441567,-122.167742,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=100
99,101,Quarry Rd @ Hoover Pavilion,37.442178,-122.169041,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=101
100,102,Quarry Rd @ Stanford Shopping Center,37.442072,-122.169487,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=102
101,103,Medical School @ Quarry Rd.,37.432589,-122.174132,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=103
102,104,Roth Way @ Cantor Arts Center,37.431909,-122.17074,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=104
103,105,Pastuer Drive @ Stanford Hospital,37.433177,-122.1769,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=105
